"DT_GERACAO","HH_GERACAO","ANO_ELEICAO","CD_TIPO_ELEICAO","NM_TIPO_ELEICAO","CD_ELEICAO","DS_ELEICAO","DT_ELEICAO","SG_UF","SG_UE","NM_UE","SQ_CANDIDATO","NR_ORDEM_CANDIDATO","CD_TIPO_BEM_CANDIDATO","DS_TIPO_BEM_CANDIDATO","DS_BEM_CANDIDATO","VR_BEM_CANDIDATO","DT_ULTIMA_ATUALIZACAO","HH_ULTIMA_ATUALIZACAO"
"03/11/2020","21:06:34",2020,2,"Eleição Ordinária",426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",240000635196,1,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","CITROEN AIRCROSS PRATA 2018 PLACA QIX-8513, ADQUIRIDO COMISENÇÃO DE IMPOSTOS IPI E ICMS PARA PESSOA COM DEFICIÊNCIA.","48086,84","29/10/2020","11:39:34"
"03/11/2020","21:06:34",2020,2,"Eleição Ordinária",426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",240000635196,2,31,"Ações (inclusive as provenientes de linha telefônica)","58 AÇÕES DE WEG S.A., WEGE3F, ADQUIRIDAS PELA CORRETORACLEAR, PELO CUSTO MÉDIO DE R$ 28,82 POR AÇÃO.","1671,56","29/10/2020","11:39:34"
"03/11/2020","21:06:34",2020,2,"Eleição Ordinária",426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",240000635196,3,31,"Ações (inclusive as provenientes de linha telefônica)","27 AÇÕES DE PETROBRAS, PETR4F, ADQUIRIDAS PELA CORRETORACLEAR, PELO CUSTO MÉDIO DE R$ 30,02 POR AÇÃO.","810,54","29/10/2020","11:39:34"
"03/11/2020","21:06:34",2020,2,"Eleição Ordinária",426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",240000635196,4,31,"Ações (inclusive as provenientes de linha telefônica)","200 AÇÕES DE HELBOR, HBOR3, ADQUIRIDAS PELA CORRETORA CLEAR,PELO CUSTO MÉDIO DE R$ 3,75 POR AÇÃO.","750,00","29/10/2020","11:39:34"
"03/11/2020","21:06:34",2020,2,"Eleição Ordinária",426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",240000635196,5,31,"Ações (inclusive as provenientes de linha telefônica)","57 AÇÕES DE ITAUSA, ITSA4F, ADQUIRIDAS PELA CORRETORA XP, PELOCUSTO MÉDIO DE R$ 12,37 POR AÇÃO.","705,09","29/10/2020","11:39:34"
"03/11/2020","21:06:34",2020,2,"Eleição Ordinária",426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",240000635196,6,31,"Ações (inclusive as provenientes de linha telefônica)","20 AÇÕES DE MAGAZINE LUIZA, MGLU3F, ADQUIRIDAS PELA CORRETORACLEAR, PELO CUSTO MÉDIO DE R$ 44,46 POR AÇÃO.","889,20","29/10/2020","11:39:34"
"03/11/2020","21:06:34",2020,2,"Eleição Ordinária",426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",240000635196,7,31,"Ações (inclusive as provenientes de linha telefônica)","33 AÇÕES DE ALUP11F, ADQUIRIDAS PELA CORRETORA CLEAR, PELOPREÇO MÉDIO DE R$ 23,58 POR AÇÃO.","778,14","29/10/2020","11:39:34"
"03/11/2020","21:06:34",2020,2,"Eleição Ordinária",426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",240000635196,8,31,"Ações (inclusive as provenientes de linha telefônica)","13 AÇÕES DE GNDI3, ADQUIRIDAS PELA CORRETORA CLEAR, PELOCUSTO MÉDIO DE R$ 57,55 POR AÇÃO.","748,15","29/10/2020","11:39:34"
"03/11/2020","21:06:34",2020,2,"Eleição Ordinária",426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",240000635196,9,31,"Ações (inclusive as provenientes de linha telefônica)","24 AÇÕES DE JPSA3, ADQUIRIDAS PELA CORRETORA CLEAR, PELOCUSTO MÉDIO DE R$ 31,70 POR AÇÃO.","760,80","29/10/2020","11:39:34"
"03/11/2020","21:06:34",2020,2,"Eleição Ordinária",426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",240000635196,10,31,"Ações (inclusive as provenientes de linha telefônica)","37 AÇÕES DE RLOG3, ADQUIRIDAS PELA CORRETORA CLEAR, PELOCUSTO MÉDIO DE R$ 20,31.","751,47","29/10/2020","11:39:34"
